ID,Tipo,SKU padre,sku ,Nombre,Publicado (0/1),¿Está destacado? (0/1),Visibilidad en el catálogo,Descripción corta (Instrucciones de cuidado),Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario (cantidad),Inventario (cantidad),Inventario (cantidad),Peso (kg),Medidas (cm), (cm), (cm),Precio rebajado,Precio normal,Categorías (Colecciones),Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/14B2NVN6TtdWEzAId9Mxd6McPUAhUqZ-o,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Nombre del atributo 2,Valor(es) del atributo color,Atributo visible talla,Atributo global talla,Atributo por defecto talla
610225,variable,,,BLUSA OFF-SHOULDER,1,0,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.","Blusa de hombros descubiertos. Corte recto, escote redondo con pliegues y aro metálico. Cierre de botones en la espalda. Manga larga con detalle de volantes.",taxable,parent,1,(color banco),,,0.30,,,,-,349000,Tékapo,,Envío Growbeats,blusa off-shoulder blanca.tif                                                                    blusa off-shoulder blanca2.tif,,Talla,"S, XL",Color,Blanco,1,1,
610225,variable,,,BLUSA OFF-SHOULDER - XL,1,0,visible,,,taxable,parent,1,1,-,-,0.30,Talla XL: Busto 104 / Cintura 98,,,-,349000,Tékapo,,,blusa off-shoulder blanca.tif                                                                    blusa off-shoulder blanca2.tif,,Talla,XL,Color,Blanco,,1,XL Blanco
620195,variable,,,PANTALÓN ANUDADO CON PLIEGUES,1,0,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.",Pantalón de cintura alta y botas anchas. Plisado en la cintura y detalle atado. Cremallera semi-invisible en costado.,taxable,parent,1,(color palo de rosa),(color camel),,0.30,,,,-,279000,Tékapo,,Envío Growbeats,pantalón anudado con pliegues palo de rosa y camel.tif                                                               pantalón anudado con pliegues palo de rosa y camel2.tif                                                      pantalón anudado con pliegues palo de rosa y camel3.jpg,,Talla,"8, 10, 12, 14, 16",Color,Palo de Rosa - Camel,1,1,
620195,variable,,,PANTALÓN ANUDADO CON PLIEGUES - 8,1,0,visible,,,taxable,parent,1,2,0,-,0.30,Talla 8: Cintura 80cm ,,,-,279000,Tékapo,,,pantalón anudado con pliegues palo de rosa y camel.tif pantalón anudado con pliegues palo de rosa y camel2.tif pantalón anudado con pliegues palo de rosa y camel3.jpg,,Talla,8,Color,Palo de Rosa - Camel,,1,8 Palo de Rosa                                     8 Camel
620195,variable,,,PANTALÓN ANUDADO CON PLIEGUES - 12,1,0,visible,,,taxable,parent,1,0,2,-,0.30,Talla 12: Cintura 88cm,,,-,279000,Tékapo,,,pantalón anudado con pliegues palo de rosa y camel.tif pantalón anudado con pliegues palo de rosa y camel2.tif pantalón anudado con pliegues palo de rosa y camel3.jpg,,Talla,12,Color,Palo de Rosa - Camel,,1,12 Palo de Rosa                                 12 Camel
620195,variable,,,PANTALÓN ANUDADO CON PLIEGUES - 14,1,0,visible,,,taxable,parent,1,0,1,-,0.30,Talla 14: Cintura 92cm ,,,-,279000,Tékapo,,,pantalón anudado con pliegues palo de rosa y camel.tif pantalón anudado con pliegues palo de rosa y camel2.tif pantalón anudado con pliegues palo de rosa y camel3.jpg,,Talla,14,Color,Palo de Rosa - Camel,,1,14 Palo de Rosa                       14 Camel
620195,variable,,,PANTALÓN ANUDADO CON PLIEGUES - 16,1,0,visible,,,taxable,parent,1,0,1,-,0.30,Talla 16: Cintura 98cm,,,-,279000,Tékapo,,,pantalón anudado con pliegues palo de rosa y camel.tif pantalón anudado con pliegues palo de rosa y camel2.tif pantalón anudado con pliegues palo de rosa y camel3.jpg,,Talla,16,Color,Palo de Rosa - Camel,,1,16 Palo de Rosa                     16 Camel
641272,variable,,,VESTIDO CRUZADO,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.",Vestido estampado manga larga. Corte recto. Escote cruzado en V. Frente con detalle de pliegues. Cierre mediante lazada en cintura. Forro interior.,taxable,parent,1,(color estampado),,,0.40,,,,-,490000,Tékapo,,Envío Growbeats,vestido cruzado estampado.tif                                                              vestido cruzado estampado2.tif,,Talla,"S, M, L, XL",Color,Estampado,1,1,
641272,variable,,,VESTIDO CRUZADO - S,1,1,visible,,,taxable,parent,1,1,-,-,0.40,Talla S: Busto 92 / Cintura 84,,,-,490000,Tékapo,,,vestido cruzado estampado.tif                                                              vestido cruzado estampado2.tif,,Talla,S,Color,Estampado,,1,S Estampado
641272,variable,,,VESTIDO CRUZADO - M,1,1,visible,,,taxable,parent,1,2,-,-,0.40,Talla M:  Busto 96 / Cintura 88,,,-,490000,Tékapo,,,vestido cruzado estampado.tif                                                              vestido cruzado estampado2.tif,,Talla,M,Color,Estampado,,1,M Estampado
